username,wins_avg,losses_avg,reg_season_position_avg,fpts_avg,fpts_against_avg
Perrry,8.0,6.0,5.0,1688.7,1678.3
Termie,7.7,6.3,5.0,1792.0,1640.3
CrustyPoots,6.3,7.7,7.0,1594.0,1647.0
Mikmikcrf,5.0,9.0,9.0,1559.5,1719.5
jamesgb,8.7,5.3,4.3,1649.7,1628.7
WuWei,6.7,7.3,6.3,1706.7,1656.3
Ravenempire,6.7,7.3,7.0,1642.3,1619.0
chuckn0rris,6.0,8.0,8.0,1570.7,1620.3
roco5marco,6.0,8.0,7.7,1604.7,1649.7
Swooboobler,8.7,5.3,4.7,1694.7,1630.0
Cougar4life66,7.0,7.0,7.3,1503.0,1564.0
gogglespaysano,6.3,7.7,8.0,1645.7,1705.0
Nosy,8.0,6.0,5.0,1592.0,1431.0
